City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,horta,38.5333,-28.6333,65.01,81,40,13.8,PT,1713546151
173,miri,4.4148,114.0089,80.74,94,40,0.0,MY,1713546156
174,hammerfest,70.6634,23.6821,30.65,47,0,11.5,NO,1713546159
175,san pedro pochutla,15.7333,-96.4667,92.19,43,11,7.56,MX,1713546164
176,cotonou,6.3654,2.4183,89.58,74,40,11.5,BJ,1713546167
177,huarmey,-10.0681,-78.1522,74.43,73,99,9.42,PE,1713546170
178,dunedin,-45.8742,170.5036,46.8,99,100,4.68,NZ,1713546154
179,burao,9.5221,45.5336,82.45,50,100,9.35,SO,1713546175
180,ardestan,33.3761,52.3694,71.73,28,95,7.9,IR,1713546178
181,tolanaro,-25.0319,46.9987,75.27,73,75,18.41,MG,1713546181
182,koluszki,51.7387,19.8199,49.75,100,100,10.54,PL,1713545990
183,bandarbeyla,9.4942,50.8122,84.52,77,22,11.18,SO,1713546186
184,nova sintra,14.8667,-24.7167,76.93,76,16,22.66,CV,1713546189
185,miyako,39.6367,141.9525,48.15,75,9,8.43,JP,1713546192
186,juan griego,11.0817,-63.9655,88.34,60,100,7.92,VE,1713546195
187,naze,28.3667,129.4833,68.92,75,80,9.82,JP,1713546199
188,grand-lahou,5.1367,-5.0242,86.65,72,86,7.85,CI,1713546163
189,staraya russa,57.9944,31.3608,30.97,95,100,12.88,RU,1713546204
190,harstad,68.799,16.5293,39.15,57,20,18.01,NO,1713546208
191,mount airy,36.4993,-80.6073,70.95,70,75,3.44,US,1713546131
192,tateyama,34.9833,139.8667,61.68,63,55,1.39,JP,1713546213
193,kone,-21.0595,164.8658,73.72,95,99,4.29,NC,1713546216
194,belyy yar,53.6039,91.3903,48.09,46,0,11.18,RU,1713546218
195,letlhakane,-21.4167,25.5833,77.99,29,0,5.77,BW,1713546221
196,fujin,47.26,132.0322,38.8,82,51,6.62,CN,1713546223
197,gadzhiyevo,69.2551,33.3362,13.24,83,6,9.57,RU,1713546229
198,luderitz,-26.6481,15.1594,64.04,77,7,7.25,NA,1713546232
199,crane,31.3974,-102.3501,57.92,59,100,16.35,US,1713546234
200,tofol,5.3248,163.0078,83.16,80,99,18.57,FM,1713546237
201,junin de los andes,-39.9504,-71.0694,51.75,61,46,23.13,AR,1713546240
202,chonchi,-42.6128,-73.8092,57.11,69,71,6.29,CL,1713546165
203,toliara,-23.35,43.6667,76.26,84,51,5.82,MG,1713546245
204,puerto deseado,-47.7503,-65.8938,56.84,44,8,20.47,AR,1713546147
205,gannan,47.9147,123.5031,40.24,49,62,7.05,CN,1713546250
206,wotho,10.1657,166.0102,81.19,83,94,20.74,MH,1713546253
207,sassnitz,54.5167,13.65,40.39,95,100,18.99,DE,1713546256
208,usinsk,65.9939,57.5281,9.07,86,57,11.99,RU,1713546021
209,nova vicosa,-17.8919,-39.3719,79.14,79,99,18.48,BR,1713546107
210,mkushi,-13.6202,29.3939,66.07,84,88,3.65,ZM,1713546264
211,kapuskasing,49.4169,-82.4331,45.19,52,95,11.97,CA,1713546266
212,al qadarif,14.0349,35.3834,96.84,7,4,11.01,SD,1713546270
213,okha,53.5739,142.9478,32.25,91,89,8.99,RU,1713546272
214,mendi,-6.1761,143.6513,56.05,98,97,2.93,PG,1713546276
215,dudinka,69.4058,86.1778,20.68,96,100,5.99,RU,1713546279
216,shahi,28.55,79.3167,88.34,25,33,13.73,IN,1713546282
217,kialla,-36.4161,145.3954,48.65,85,0,7.05,AU,1713546285
218,port hedland,-20.3167,118.5667,78.85,24,92,10.36,AU,1713546288
219,paulden,34.8856,-112.4682,74.73,26,40,1.99,US,1713546290
220,kayangel,8.0823,134.7173,81.88,83,94,19.22,PW,1713546293
221,hithadhoo,-0.6,73.0833,84.15,74,100,7.99,MV,1713546296
222,onguday,50.75,86.15,47.7,96,100,0.89,RU,1713546299
223,tabas,33.5959,56.9244,76.05,18,0,6.4,IR,1713546302
224,klaksvik,62.2266,-6.589,40.12,57,91,12.3,FO,1713546305
225,kangding,30.0513,101.9603,47.89,99,100,5.73,CN,1713546308
226,dalandzadgad,43.5708,104.425,48.2,49,2,8.08,MN,1713546310
227,anadyr,64.75,177.4833,1.9,77,0,5.99,RU,1713546316
228,cururupu,-1.8283,-44.8683,77.5,95,100,3.29,BR,1713546319
229,antonio enes,-16.2325,39.9086,79.72,80,78,8.1,MZ,1713546168
230,akureyri,65.6835,-18.0878,31.93,64,0,3.44,IS,1713546324
231,hilo,19.7297,-155.09,69.53,92,100,4.61,US,1713546327
232,puerto armuelles,8.2833,-82.8667,93.18,67,100,1.01,PA,1713546330
233,hastings,50.8552,0.5729,55.53,73,99,17.78,GB,1713546000
234,codrington,-38.2667,141.9667,52.34,77,35,6.06,AU,1713546338
235,kidal,18.4411,1.4078,103.01,4,6,2.82,ML,1713546340
236,hobyo,5.3505,48.5268,85.95,72,85,14.07,SO,1713546343
237,pointe aux piments,-20.0628,57.5131,78.53,77,86,18.21,MU,1713546346
238,saldanha,-33.0117,17.9442,59.05,96,69,6.8,ZA,1713546348
239,tadine,-21.55,167.8833,75.38,90,100,9.55,NC,1713546351
240,sandnessjoen,66.0217,12.6316,42.91,22,0,6.91,NO,1713546354
241,kununurra,-15.7667,128.7333,73.38,64,6,4.61,AU,1713546356
242,murzuq,25.9155,13.9184,86.18,11,0,3.85,LY,1713546359
243,la mira,18.035,-102.3266,84.34,45,0,8.08,MX,1713546363
244,balabac,7.9868,117.0645,81.88,79,77,7.18,PH,1713546365
245,ponta delgada,37.7333,-25.6667,65.19,82,20,16.11,PT,1713546368
246,byalynichy,53.9983,29.7126,37.81,90,80,7.4,BY,1713546374
247,mankono,8.0586,-6.1897,100.69,26,40,9.06,CI,1713546376
248,pamandzi,-12.7967,45.2794,83.98,74,0,6.91,YT,1713546379
249,san jose acatempa,14.2653,-90.1269,81.99,42,57,6.06,GT,1713546382
250,hasaki,35.7333,140.8333,55.8,53,4,10.42,JP,1713546384
251,mournies,35.4764,24.0092,63.82,77,75,6.91,GR,1713546387
252,quiindy,-25.9667,-57.2667,79.45,41,0,7.45,PY,1713546390
253,camacupa,-12.0167,17.4833,70.66,63,48,1.97,AO,1713546260
254,ongjin,37.9347,125.3619,55.58,72,100,4.47,KP,1713546395
255,andergrove,-21.0833,149.1833,74.23,84,97,5.44,AU,1713546397
256,ballina,-28.8667,153.5667,58.78,89,12,10.45,AU,1713546400
